"행정구역(시군구)별","2021","","","","","","","","2022","","","","","","","","2023","","","","","","","","2024","","","","","","","","2025","","","","","","",""
"","총전입 (명)","총전출 (명)","순이동 (명)","시도내이동-시군구내 (명)","시도내이동-시군구간 전입 (명)","시도내이동-시군구간 전출 (명)","시도간전입 (명)","시도간전출 (명)","총전입 (명)","총전출 (명)","순이동 (명)","시도내이동-시군구내 (명)","시도내이동-시군구간 전입 (명)","시도내이동-시군구간 전출 (명)","시도간전입 (명)","시도간전출 (명)","총전입 (명)","총전출 (명)","순이동 (명)","시도내이동-시군구내 (명)","시도내이동-시군구간 전입 (명)","시도내이동-시군구간 전출 (명)","시도간전입 (명)","시도간전출 (명)","총전입 (명)","총전출 (명)","순이동 (명)","시도내이동-시군구내 (명)","시도내이동-시군구간 전입 (명)","시도내이동-시군구간 전출 (명)","시도간전입 (명)","시도간전출 (명)","총전입 (명)","총전출 (명)","순이동 (명)","시도내이동-시군구내 (명)","시도내이동-시군구간 전입 (명)","시도내이동-시군구간 전출 (명)","시도간전입 (명)","시도간전출 (명)"
"전국","7,213,422","7,213,422","0","2,649,108","2,117,080","2,117,080","2,447,234","2,447,234","6,152,155","6,152,155","0","2,173,548","1,805,002","1,805,002","2,173,605","2,173,605","6,128,738","6,128,738","0","2,154,739","1,831,457","1,831,457","2,142,542","2,142,542","6,283,319","6,283,319","0","2,241,537","1,867,255","1,867,255","2,174,527","2,174,527","6,117,784","6,117,784","0","2,095,832","1,836,039","1,836,039","2,185,913","2,185,913"
"서울특별시","1,418,187","1,524,430","-106,243","387,416","569,648","569,648","461,123","567,366","1,201,527","1,236,867","-35,340","302,805","468,146","468,146","430,576","465,916","1,206,963","1,238,213","-31,250","298,251","478,553","478,553","430,159","461,409","1,221,380","1,266,072","-44,692","304,519","488,413","488,413","428,448","473,140","1,244,928","1,271,697","-26,769","303,656","502,945","502,945","438,327","465,096"
"부산광역시","441,323","460,226","-18,903","136,072","189,085","189,085","116,166","135,069","383,848","397,410","-13,562","109,335","169,621","169,621","104,892","118,454","364,271","375,703","-11,432","103,359","158,695","158,695","102,217","113,649","378,597","392,254","-13,657","104,762","169,070","169,070","104,765","118,422","362,416","374,597","-12,181","98,453","157,725","157,725","106,238","118,419"
"대구광역시","304,761","329,080","-24,319","105,699","115,986","115,986","83,076","107,395","265,354","276,873","-11,519","81,016","102,771","102,771","81,567","93,086","296,291","301,579","-5,288","91,767","120,988","120,988","83,536","88,824","303,544","308,256","-4,712","95,053","121,986","121,986","86,505","91,217","268,468","272,740","-4,272","79,840","103,716","103,716","84,912","89,184"
"인천광역시","433,137","421,714","11,423","150,553","126,760","126,760","155,824","144,401","395,140","367,039","28,101","123,107","116,812","116,812","155,221","127,120","424,127","390,620","33,507","137,734","125,952","125,952","160,441","126,934","397,818","372,175","25,643","128,185","114,003","114,003","155,630","129,987","395,525","363,261","32,264","122,469","110,822","110,822","162,234","129,970"
"광주광역시","212,888","218,771","-5,883","74,956","73,211","73,211","64,721","70,604","182,924","190,566","-7,642","62,460","65,006","65,006","55,458","63,100","162,916","171,933","-9,017","53,131","56,299","56,299","53,486","62,503","172,439","180,401","-7,962","56,844","60,816","60,816","54,779","62,741","162,873","176,551","-13,678","52,858","56,288","56,288","53,727","67,405"
"대전광역시","211,565","220,496","-8,931","61,757","69,778","69,778","80,030","88,961","198,705","201,701","-2,996","56,435","66,849","66,849","75,421","78,417","186,084","188,558","-2,474","52,553","60,157","60,157","73,374","75,848","195,980","197,673","-1,693","54,349","65,686","65,686","75,945","77,638","207,372","204,548","2,824","58,381","68,979","68,979","80,012","77,188"
"울산광역시","129,880","143,554","-13,674","45,646","44,822","44,822","39,412","53,086","107,747","117,283","-9,536","35,345","35,818","35,818","36,584","46,120","116,641","122,856","-6,215","39,440","39,716","39,716","37,485","43,700","113,332","118,186","-4,854","36,014","37,808","37,808","39,510","44,364","114,205","119,679","-5,474","35,920","37,226","37,226","41,059","46,533"
"세종특별자치시","76,912","62,827","14,085","30,037","0","0","46,875","32,790","65,529","55,401","10,128","25,292","0","0","40,237","30,109","56,050","54,360","1,690","21,803","0","0","34,247","32,557","61,022","58,214","2,808","25,076","0","0","35,946","33,138","54,355","54,402","-47","21,007","0","0","33,348","33,395"
"경기도","2,036,215","1,885,698","150,517","779,725","586,091","586,091","670,399","519,882","1,645,990","1,602,108","43,882","627,887","476,258","476,258","541,845","497,963","1,681,183","1,636,571","44,612","642,812","496,261","496,261","542,110","497,498","1,726,287","1,662,069","64,218","660,752","507,926","507,926","557,609","493,391","1,628,873","1,595,903","32,970","595,484","491,577","491,577","541,812","508,842"
