"행정구역(시군구)별","2026.01","","","","","","","","2026.02","","","","","","","","2026.03","","","","","","",""
"","총전입 (명)","총전출 (명)","순이동 (명)","시도내이동-시군구내 (명)","시도내이동-시군구간 전입 (명)","시도내이동-시군구간 전출 (명)","시도간전입 (명)","시도간전출 (명)","총전입 (명)","총전출 (명)","순이동 (명)","시도내이동-시군구내 (명)","시도내이동-시군구간 전입 (명)","시도내이동-시군구간 전출 (명)","시도간전입 (명)","시도간전출 (명)","총전입 (명)","총전출 (명)","순이동 (명)","시도내이동-시군구내 (명)","시도내이동-시군구간 전입 (명)","시도내이동-시군구간 전출 (명)","시도간전입 (명)","시도간전출 (명)"
"전국","568,310","568,310","0","181,918","174,475","174,475","211,917","211,917","614,712","614,712","0","186,663","186,442","186,442","241,607","241,607","609,119","609,119","0","195,430","177,377","177,377","236,312","236,312"
"서울특별시","120,719","120,824","-105","27,268","49,607","49,607","43,844","43,949","137,348","133,121","4,227","29,676","54,851","54,851","52,821","48,594","127,284","127,451","-167","29,544","48,707","48,707","49,033","49,200"
"부산광역시","35,933","36,777","-844","9,703","15,488","15,488","10,742","11,586","40,973","40,816","157","9,840","17,315","17,315","13,818","13,661","36,200","37,021","-821","9,277","14,779","14,779","12,144","12,965"
"대구광역시","26,338","26,589","-251","6,929","10,649","10,649","8,760","9,011","28,829","29,254","-425","7,334","11,109","11,109","10,386","10,811","26,525","27,574","-1,049","7,150","10,085","10,085","9,290","10,339"
"인천광역시","30,085","28,802","1,283","8,459","8,259","8,259","13,367","12,084","32,481","31,610","871","9,226","8,528","8,528","14,727","13,856","34,053","32,467","1,586","9,624","9,119","9,119","15,310","13,724"
"광주광역시","14,720","15,859","-1,139","4,347","4,996","4,996","5,377","6,516","15,665","16,952","-1,287","4,439","5,372","5,372","5,854","7,141","14,825","16,372","-1,547","4,541","4,607","4,607","5,677","7,224"
"대전광역시","18,958","19,064","-106","4,794","6,015","6,015","8,149","8,255","20,920","20,007","913","4,628","5,879","5,879","10,413","9,500","19,906","19,595","311","4,989","5,803","5,803","9,114","8,803"
"울산광역시","11,484","12,096","-612","3,541","3,983","3,983","3,960","4,572","11,042","12,452","-1,410","3,354","3,530","3,530","4,158","5,568","10,599","11,742","-1,143","3,195","3,380","3,380","4,024","5,167"
"세종특별자치시","5,523","6,156","-633","2,034","0","0","3,489","4,122","5,883","6,234","-351","2,109","0","0","3,774","4,125","4,865","5,175","-310","1,599","0","0","3,266","3,576"
"경기도","151,964","146,611","5,353","53,303","45,873","45,873","52,788","47,435","161,503","157,075","4,428","55,269","48,511","48,511","57,723","53,295","162,769","160,604","2,165","58,711","47,894","47,894","56,164","53,999"
"강원특별자치도","16,457","16,677","-220","6,761","3,113","3,113","6,583","6,803","17,787","18,179","-392","6,608","3,672","3,672","7,507","7,899","19,227","18,478","749","7,651","3,530","3,530","8,046","7,297"
"충청북도","17,541","16,898","643","7,387","2,510","2,510","7,644","7,001","20,362","19,932","430","9,312","2,553","2,553","8,497","8,067","20,712","19,179","1,533","8,633","2,536","2,536","9,543","8,010"
"충청남도","22,727","22,635","92","7,665","4,076","4,076","10,986","10,894","24,688","24,209","479","7,599","4,572","4,572","12,517","12,038","26,465","25,064","1,401","8,840","4,611","4,611","13,014","11,613"
"전북특별자치도","18,380","18,969","-589","8,742","4,348","4,348","5,290","5,879","18,377","19,271","-894","8,011","4,192","4,192","6,174","7,068","19,453","19,752","-299","8,198","4,659","4,659","6,596","6,895"
"전라남도","16,233","16,312","-79","5,392","3,868","3,868","6,973","7,052","15,793","16,634","-841","5,047","3,858","3,858","6,888","7,729","17,155","17,733","-578","5,805","4,025","4,025","7,325","7,903"
"경상북도","24,634","26,167","-1,533","9,514","4,791","4,791","10,329","11,862","24,335","26,346","-2,011","8,149","4,680","4,680","11,506","13,517","27,305","27,241","64","9,071","5,458","5,458","12,776","12,712"
"경상남도","29,165","29,770","-605","12,073","6,143","6,143","10,949","11,554","30,837","34,291","-3,454","12,312","6,960","6,960","11,565","15,019","33,912","35,560","-1,648","14,602","7,395","7,395","11,915","13,563"
"제주특별자치도","7,449","8,104","-655","4,006","756","756","2,687","3,342","7,889","8,329","-440","3,750","860","860","3,279","3,719","7,864","8,111","-247","4,000","789","789","3,075","3,322"
